id,Route Designator,Significant point name ,Latitude,Longitude
117,L644,"KIKOR
(WSJC/WIIZ FIR BDRY)",-0.379,107.09
118,L649,"LAXOR
(WSJC/RPHI FIR BDRY)",9.827,114.808
119,L649,"URKET
(WSJC/WBFC FIR BDRY)",8.192,114.833
120,L649,"	DAKIX
(WBFC/WSJC FIR BDRY)",7.148,114.848
121,L762,ASUNA,0.997,103.165
122,L762,"MIBEL
(WIIZ/WSJC FIR BDRY)",1.397,102.138
123,M522,"VINIK
(WSJC/RPHI FIR BDRY)",8.642,116.23
124,M522,"NODIN
(WSJC/WBFC FIR BDRY)",8.183,116.195
125,M630,SUKRI,1.385,102.984
126,M630,BOBAG,1.042,103.498
127,M630,TANJUNG PINANG VOR/DME,0.904,104.514
128,M635,TEKONG DVOR/DME (VTK),1.415,104.022
129,M635,TANJUNG PINANG VOR/DME (TPG),0.904,104.514
130,M635,ATPOM,0.407,105.354
131,M635,"SURGA
(WSJC/WIIZ FIR BDRY)",-0.616,106.522
132,M646,"KAMIN
(WBFC/WSJC FIR BDRY)",2.578,108.927
133,M646,SABIP,2.161,107.846
134,M646,ESPIT,2.003,107.44
135,M646,OBLOT,1.716,106.696
136,M646,TOMAN,1.363,105.788
137,M753,"IPRIX
(VVTS/WSJC FIR BDRY)",7,104.132
138,M753,ENREP,4.873,104.245
139,M754,"VINIK
(WSJC/RPHI FIR BDRY)",8.642,116.23
140,M754,"SUMLA
(WSJC/WMFC FIR BDRY)",8.045,116.015
141,M758,PEKAN DVOR/DME (VPK),3.383,103.423
142,M758,"IDSEL
(WMFC/WSJC FIR BDRY)",3.409,103.929
143,M758,URIGO,3.418,104.113
144,M758,VISAT,3.439,104.526
145,M758,MABAL,3.474,105.21
146,M758,ELGOR,3.504,105.805
147,M758,LUSMO,3.561,106.926
148,M758,TERIX,4.256,109.582
149,M758,"OLKIT
(WSJC/WBFC FIR BDRY)",4.836,111.855
150,M761,PEKAN DVOR/DME (VPK),3.383,103.423
151,M761,"KETOD
(WMFC/WSJC FIR BDRY)",3.178,104.162
152,M761,OTLON,3.131,104.335
153,M761,KILOT,3.038,104.673
154,M761,LIPRO,2.895,105.191
155,M761,BOBOB,2.368,107.099
156,M761,SABIP,2.161,107.846
