starte end id,"Route Designator
{RNP Type}",Significant point name ,Latitude,Longitude
130,N891,ENREP,4.873,104.245
131,N891,UGPEK,3.613,4.131
132,N891,URIGO,3.418,104.113
133,N891,"MANIM
(WMFC/WSJC FIR BDRY)",3.242,104.098
134,N891,OBDAB,3.198,4.094
135,N891,PAPA UNIFORM DVOR/DME (PU),1.423,103.933
136,N892,"MELAS
(VVTS/WSJC FIR BDRY)",7.089,108.153
137,N892,MABLI,4.288,106.213
138,N892,MUMSO,3.739,105.537
139,N892,MABAL,3.474,105.21
140,N892,KILOT,3.038,104.673
141,N892,"KIBOL
WSJC/WMFC FIR BDRY",2.875,104.468
142,N892,PEKLA,2.577,104.105
143,N892,MERSING DVOR/DME (VMR),2.388,103.872
144,P501,"ARAMA
(50DME SJ)
(delegated airspace BDRY)",1.615,103.12
145,P501,"ANBUS
(WMFC/WSJC FIR BDRY)",1.266,103.351
146,P501,"BOBAG
(R243/24 DME SJ)",1.042,103.498
147,P501,"	ANITO",-0.283,104.867
148,Q801,ESPOB (VVTS/WSJC FIR BDRY),7,105.555
149,Q801,ESBUM,4.869,104.475
150,Q802,IPRIX (VVTS/WSJC FIR BDRY),7,104.132
151,Q802,ESBUM,4.869,104.475
152,Q802,ELALO,4.211,104.558
153,Q803,UPRON,6.151,103.344
154,Q803,IPDOL,4.853,103.989
155,Q803,KEXOL,4.658,104.162
156,Q803,ELALO,4.211,104.558
157,T611,IPRIX (VVTS/WSJC FIR BDRY),7,104.132
158,T611,IPDOL,4.853,103.989
159,T611,IDSEL (WMFC/WSJC FIR BDRY),3.409,103.929
160,T612,DOLOX,4.811,105.38
161,T612,IDSEL (WMFC/WSJC FIR BDRY),3.409,103.929
162,Y332,"TAXUL
(WSJC/WMFC FIR BDRY)",3.843,103.677
163,Y332,PADLI,3.155,103.526
164,Y333,"BUVAL
(WMFC/WSJC FIR BDRY)",3.606,103.728
165,Y333,PADLI,3.155,103.526
166,Y334,"DOVOL
(WSJC/WMFC FIR BDRY)",3.513,103.823
167,Y334,PADLI,3.155,103.526
168,Y335,"IDSEL
(WMFC/WSJC FIR BDRY)",3.409,103.929
169,Y335,PADLI,3.155,103.526
170,Y336,"KETOD
(WMFC/WSJC FIR BDRY)",3.178,104.162
171,Y336,PADLI,3.155,103.526
172,Y339,"AKOMA
(20 DME PU)",1.756,103.912
173,Y339,AROSO,2.146,103.406
174,Y342,JOHOR BAHRU DVOR/DME (VJB),1.664,2.146
175,Y342,AROSO,2.146,103.406
176,Y514,VIRID,3.291,103.222
177,Y514,NUFFA,2.895,103.642
